id,title,job_role,sector,qualification,skills,interests,work_mode,expected_salary,city,state,lat,lon,duration_months,additional_support,created_at,updated_at
int_gurugram_00001,Business Analyst Intern at Govtech Company,business analyst intern,govtech,B.Sc,"sql, stakeholder management, powerbi, requirements gathering, documentation","finance, media",hybrid,22370,Gurugram,,28.4595,77.0266,2,"mentor, certificate",2025-09-18T19:41:05.625175+00:00,2025-09-22T19:41:05.625175+00:00
int_chennai_00002,Research Intern at Govtech Company,research intern,govtech,BBA,"python, literature review, statistics, data collection, analysis","ai, strategy, consulting, retail",onsite,24820,Chennai,,13.0827,80.2707,6,"mentor, certificate",2025-06-25T19:30:24.625175+00:00,2025-06-26T19:30:24.625175+00:00
int_delhi_00003,E-Commerce Data Analyst Intern,data analyst intern,e-commerce,BBA,"python, pandas, sql, excel, power bi","social, operations, hospitality",remote,31441,Delhi,,28.7041,77.1025,4,stipend,2025-09-18T14:14:29.625175+00:00,2025-09-27T14:14:29.625175+00:00
int_chennai_00004,Internship - Growth Marketing Intern (Media),growth marketing intern,media,B.E.,"analytics, seo, experimentation, digital marketing, growth hacking","automotive, research",onsite,17988,Chennai,,13.0827,80.2707,4,mentor,2025-07-03T08:43:15.626175+00:00,2025-07-15T08:43:15.626175+00:00
int_bangalore_00005,Healthtech AI Research Intern,ai research intern,healthtech,MBA,"python, deep learning, nlp, computer vision, research","healthcare, retail, data",hybrid,26075,Bangalore,,12.9716,77.5946,3,"mentor, stipend, certificate",2025-08-16T13:18:36.626175+00:00,2025-08-28T13:18:36.626175+00:00
int_bangalore_00006,Healthtech Data Analyst Intern,data analyst intern,healthtech,BBA,"python, pandas, sql, excel, power bi","consulting, automotive",onsite,25078,Bangalore,,12.9716,77.5946,4,"mentor, stipend, certificate",2025-05-22T06:23:31.626175+00:00,2025-06-03T06:23:31.626175+00:00
int_delhi_00007,Research Intern at Ngo Company,research intern,NGO,B.Com,"python, literature review, statistics, data collection, analysis","automotive, fmcg, ai, data",hybrid,24849,Delhi,,28.7041,77.1025,5,"mentor, certificate",2025-06-21T11:37:33.626175+00:00,2025-07-04T11:37:33.626175+00:00
int_bangalore_00008,Healthtech Bioinformatics Intern,bioinformatics intern,healthtech,B.E.,"python, r, genomics, biostatistics, data analysis","fmcg, finance",onsite,40376,Bangalore,,12.9716,77.5946,5,"mentor, stipend, certificate",2025-08-25T07:30:19.626175+00:00,2025-09-06T07:30:19.626175+00:00
int_mumbai_00009,Agriculture Research Intern - Agritech,agriculture research intern,agritech,B.E.,"agriculture practices, data collection, sustainable farming, crop science, research","tech, fmcg, finance, marketing",onsite,36694,Mumbai,,19.076,72.8777,2,"mentor, certificate",2025-07-07T22:11:03.626175+00:00,2025-07-13T22:11:03.626175+00:00
int_mumbai_00010,Data Analyst Intern at Hospitality Company,data analyst intern,hospitality,B.E.,"python, pandas, sql, excel, power bi","tech, content",onsite,35077,Mumbai,,19.076,72.8777,5,"mentor, stipend, certificate",2025-07-04T03:14:02.626175+00:00,2025-07-06T03:14:02.626175+00:00
